chip_id	generated	forwarded	local_drops	passthrough_drops	total_drops	enq_local_ok	enq_neigh_ok	fifo_peak_observed
0	12502	49998	0	12438	12438	12502	37560	64
1	12484	49998	0	12419	12419	12484	37578	64
2	12392	49997	0	12327	12327	12392	37669	64
3	12488	49996	0	12425	12425	12488	37572	64
4	12327	49997	0	12262	12262	12327	37734	64
5	12430	49998	0	12365	12365	12430	37632	64
6	12573	49998	0	12509	12509	12573	37489	64
7	12367	49997	0	12304	12304	12367	37694	64
8	12587	49997	0	12523	12523	12587	37474	64
9	12428	49996	0	12365	12365	12428	37632	64
10	12430	49997	0	12158	12158	12430	37631	64
11	12579	49789	0	475	475	12579	37215	64
12	12610	37690	0	0	0	12610	25080	12
13	12629	25080	0	0	0	12629	12451	5
14	12451	12451	0	0	0	12451	0	1
