run	delivered_tx	total_drops	cycles_per_sec	per_chip_drops	trace_run_dir
1	261827	0	2329.463	0:0,1:0,2:0,3:0,4:0,5:0,6:0,7:0,8:0,9:0,10:0,11:0,12:0,13:0,14:0	./traces/determinism_3x5/run_1772647830_2149529
2	261827	0	2266.484	0:0,1:0,2:0,3:0,4:0,5:0,6:0,7:0,8:0,9:0,10:0,11:0,12:0,13:0,14:0	./traces/determinism_3x5/run_1772647853_2150421
3	261827	0	2304.796	0:0,1:0,2:0,3:0,4:0,5:0,6:0,7:0,8:0,9:0,10:0,11:0,12:0,13:0,14:0	./traces/determinism_3x5/run_1772647876_2151320
4	261827	0	2283.983	0:0,1:0,2:0,3:0,4:0,5:0,6:0,7:0,8:0,9:0,10:0,11:0,12:0,13:0,14:0	./traces/determinism_3x5/run_1772647898_2152295
5	261827	0	2245.862	0:0,1:0,2:0,3:0,4:0,5:0,6:0,7:0,8:0,9:0,10:0,11:0,12:0,13:0,14:0	./traces/determinism_3x5/run_1772647921_2153149
6	261827	0	2291.448	0:0,1:0,2:0,3:0,4:0,5:0,6:0,7:0,8:0,9:0,10:0,11:0,12:0,13:0,14:0	./traces/determinism_3x5/run_1772647944_2154354
7	261827	0	2266.732	0:0,1:0,2:0,3:0,4:0,5:0,6:0,7:0,8:0,9:0,10:0,11:0,12:0,13:0,14:0	./traces/determinism_3x5/run_1772647967_2155258
8	261827	0	2192.259	0:0,1:0,2:0,3:0,4:0,5:0,6:0,7:0,8:0,9:0,10:0,11:0,12:0,13:0,14:0	./traces/determinism_3x5/run_1772647990_2156075
9	261827	0	2233.954	0:0,1:0,2:0,3:0,4:0,5:0,6:0,7:0,8:0,9:0,10:0,11:0,12:0,13:0,14:0	./traces/determinism_3x5/run_1772648013_2156933
10	261827	0	2211.480	0:0,1:0,2:0,3:0,4:0,5:0,6:0,7:0,8:0,9:0,10:0,11:0,12:0,13:0,14:0	./traces/determinism_3x5/run_1772648037_2157846
11	261827	0	2203.634	0:0,1:0,2:0,3:0,4:0,5:0,6:0,7:0,8:0,9:0,10:0,11:0,12:0,13:0,14:0	./traces/determinism_3x5/run_1772648060_2158886
12	261827	0	2131.800	0:0,1:0,2:0,3:0,4:0,5:0,6:0,7:0,8:0,9:0,10:0,11:0,12:0,13:0,14:0	./traces/determinism_3x5/run_1772648084_2193796
13	261827	0	2142.861	0:0,1:0,2:0,3:0,4:0,5:0,6:0,7:0,8:0,9:0,10:0,11:0,12:0,13:0,14:0	./traces/determinism_3x5/run_1772648108_2194956
14	261827	0	2169.355	0:0,1:0,2:0,3:0,4:0,5:0,6:0,7:0,8:0,9:0,10:0,11:0,12:0,13:0,14:0	./traces/determinism_3x5/run_1772648132_2195774
15	261827	0	2166.838	0:0,1:0,2:0,3:0,4:0,5:0,6:0,7:0,8:0,9:0,10:0,11:0,12:0,13:0,14:0	./traces/determinism_3x5/run_1772648156_2196685
