time	V(out)	V(rst)	V(vin)
1.458526893842289e-005	7.369062e-003	-4.882485e-001	-2.000000e+000
1.458557951007767e-005	7.384556e-003	-4.570235e-001	-2.000000e+000
1.458571810341640e-005	7.391468e-003	-4.421450e-001	-2.000000e+000
1.458578892434397e-005	7.394999e-003	-4.343025e-001	-2.000000e+000
1.458584318075217e-005	7.397704e-003	-4.281901e-001	-2.000000e+000
1.458590943098363e-005	7.401008e-003	-4.206298e-001	-2.000000e+000
1.458597113686501e-005	7.404084e-003	-4.134968e-001	-2.000000e+000
1.458604970428343e-005	7.408000e-003	-4.042910e-001	-2.000000e+000
1.458612990372202e-005	7.411997e-003	-3.947554e-001	-2.000000e+000
1.458623783936512e-005	7.417376e-003	-3.817079e-001	-2.000000e+000
1.458636261485870e-005	7.423593e-003	-3.663325e-001	-2.000000e+000
1.458655255220569e-005	7.433055e-003	-3.424160e-001	-2.000000e+000
1.458690102857101e-005	7.450405e-003	-2.976987e-001	-2.000000e+000
1.458694211972387e-005	7.452450e-003	-2.923358e-001	-2.000000e+000
1.458698321087674e-005	7.454495e-003	-2.869858e-001	-2.000000e+000
1.458702430202960e-005	7.456540e-003	-2.816487e-001	-2.000000e+000
1.458706539318246e-005	7.458585e-003	-2.763246e-001	-2.000000e+000
1.458710648433533e-005	7.460630e-003	-2.710133e-001	-2.000000e+000
1.458714757548819e-005	7.462674e-003	-2.657150e-001	-2.000000e+000
1.458718866664105e-005	7.464718e-003	-2.604296e-001	-2.000000e+000
1.458727868186749e-005	7.469195e-003	-2.490321e-001	-2.000000e+000
1.458745871232034e-005	7.478148e-003	-2.268413e-001	-2.000000e+000
1.458770805931343e-005	7.490542e-003	-1.969371e-001	-2.000000e+000
1.458782015660068e-005	7.496111e-003	-1.836151e-001	-2.000000e+000
1.458794218375249e-005	7.502172e-003	-1.687873e-001	-2.000000e+000
1.458808235434976e-005	7.509132e-003	-1.508517e-001	-2.000000e+000
1.458822399620520e-005	7.516163e-003	-1.313456e-001	-2.000000e+000
1.458837590692632e-005	7.523701e-003	-1.083474e-001	-2.000000e+000
1.458857996786315e-005	7.533822e-003	-7.384990e-002	-2.000000e+000
1.458887499460117e-005	7.548444e-003	-1.849581e-002	-2.000000e+000
1.458920350575833e-005	7.564710e-003	4.785394e-002	-2.000000e+000
1.458959869335999e-005	7.584254e-003	1.293626e-001	-2.000000e+000
1.459001367920831e-005	7.604749e-003	2.107621e-001	-2.000000e+000
1.459046856601274e-005	7.627181e-003	2.880291e-001	-2.000000e+000
1.459099377724635e-005	7.653049e-003	3.571495e-001	-2.000000e+000
1.459140205331105e-005	7.673113e-003	3.931665e-001	-2.000000e+000
1.459171278369631e-005	7.688336e-003	4.082355e-001	-2.000000e+000
1.459196108399467e-005	7.700468e-003	4.129269e-001	-2.000000e+000
1.459224857101474e-005	7.714479e-003	4.121565e-001	-2.000000e+000
1.459269747106406e-005	7.736280e-003	4.043941e-001	-2.000000e+000
